Ref,Qty,Value,Footprint,Datasheet,DoNotPopulate,Gender,MouserPN
BT800 ,1,3/60DK Ni-Cd 3.6V 60mAH,Connector_PinSocket_2.54mm:PinSocket_2x01_P2.54mm_Vertical,~, , , 
C1 ,1,270pF,Capacitor_THT:C_Rect_L11.5mm_W2.6mm_P10.00mm_MKT,~, , ,581-SA101A271KAA
C100 C101 C102 C103 C104 C105 C106 C107 C108 C110 C200 C202 C203 C205 C206 C234 C244 C300 C301 C302 C303 C540 C541 C600 C601 C602 C603 C604 C605 C606 C607 C800 C802 C803 C804 C805 C812 C815 C900 C901 C903 C906 C909 C910 C915 C916 C918 C919 ,48,0.1uF,Capacitor_THT:C_Rect_L11.5mm_W2.6mm_P10.00mm_MKT,~, , ,581-SA105C104KARC
C201 C215 C216 C217 C219 C220 C221 C500 C700 C702 C703 C704 C705 ,13,0.22uF,Capacitor_THT:C_Rect_L11.5mm_W2.6mm_P10.00mm_MKT,~, , ,594-A224K20X7RF5TAA
C204 C305 C322 C323 C401 C407 C409 C411 C413 C414 ,10,0.01uF,Capacitor_THT:C_Rect_L11.5mm_W2.6mm_P10.00mm_MKT,~, , ,581-SA105C103K
C210 C211 C212 C213 C218 ,5,0.047uF,Capacitor_THT:C_Rect_L11.5mm_W2.6mm_P10.00mm_MKT,~, , ,581-SA105C473KARC
C214 C225 C226 C912 ,4,470uF 16/25v,Capacitor_THT:CP_Radial_D10.0mm_P5.00mm,~, , ,647-UVR1E471MPD
C222 C223 C402 C403 C404 C405 C406 C408 C410 C412 C420 C421 C422 ,13,47uF 16V,Capacitor_THT:CP_Radial_Tantal_D5.5mm_P5.00mm,~, , ,667-ECA-1CM470B
C224 C415 C811 ,3,4.7uF 16V,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,~, , ,647-UMA1C4R7MCD2TP
C230 C240 ,2,0.1uF,Capacitor_THT:C_Rect_L11.5mm_W2.6mm_P10.00mm_MKT,~,yes, ,581-SA105C104KARC
C231 C241 ,2,6800pF,Capacitor_THT:C_Rect_L11.5mm_W2.6mm_P10.00mm_MKT,~, , ,581-SA101C682MAA
C232 C242 ,2,3900pF,Capacitor_THT:C_Rect_L11.5mm_W2.6mm_P10.00mm_MKT,~, , ,581-SA051C392KAA
C233 C243 C317 C318 C701 C813 C814 ,7,22uF 16V,Capacitor_THT:CP_Radial_Tantal_D5.0mm_P5.00mm,~, , ,667-ECA-1CM220B
C259 C260 C261 C304 C306 C904 C905 C907 C908 C914 C920 ,11,100pF,Capacitor_THT:C_Rect_L11.5mm_W2.6mm_P10.00mm_MKT,~, , ,80-C410C101K5G
C310 C311 C312 C313 C314 C315 C316 ,7,1000pF,Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm,~, , ,810-FG28C0G1H102JNT6
C320 C321 ,2,470pF,Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm,~, , ,810-FG28C0G1H471JNT0
C400 ,1,220uF 16V,Capacitor_THT:CP_Radial_Tantal_D6.0mm_P5.00mm,~, , ,667-ECA-1CM221B
C416 C417 C418 C419 ,4,220uF 16V,Capacitor_THT:C_Axial_L19.0mm_D8.0mm_P25.00mm_Horizontal,~, , ,75-516D227M025MM6AE3
C501 C502 C503 C504 C505 C506 C507 C508 ,8,0.33uF,Capacitor_THT:C_Rect_L11.5mm_W4.0mm_P10.00mm_MKT,~, , ,581-SA305C334KAA
C617 C619 C620 C621 C622 C623 C624 C625 C626 C627 C628 C629 C630 C631 C632 C633 C635 C637 C639 C641 C645 C647 C649 C650 C651 C652 C654 C655 C657 C658 C659 C660 C661 C662 C663 C664 C665 C666 C667 C668 C669 C670 C671 C672 C673 C674 C678 C711 C713 C714 C716 C717 C719 C720 C722 C726 C728 C730 C732 C734 C736 C738 C740 C742 C744 C746 C748 C750 C752 C754 C756 C758 C760 C762 C764 C766 C768 C770 C776 C778 C780 C782 C784 C786 C787 C789 C790 C791 C793 C794 C796 ,91,1000pF,Capacitor_THT:C_Rect_L11.5mm_W2.6mm_P10.00mm_MKT,~, , ,581-SA105C102KAR
C810 ,1,20pF,Capacitor_THT:C_Rect_L11.5mm_W2.6mm_P10.00mm_MKT,~, , ,581-SA102A200JAR
C902 C917 ,2,empty,Capacitor_THT:C_Rect_L11.5mm_W2.0mm_P10.00mm_MKT,~,yes, , 
C913 ,1,47pF,Capacitor_THT:C_Rect_L11.5mm_W2.6mm_P10.00mm_MKT,~, , ,80-C410C470K1G
CN200 ,1,DB9P RIGHT(1),Connector_Dsub:DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm, ~, ,Male, 
CN201 ,1,DB9P LEFT(0),Connector_Dsub:DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm, ~, ,Male, 
CN202 ,1,DB23M,d_amiga:DSUB-23_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm, ~, ,Male, 
CN203 ,1,INTERNAL VIDEO SLOT TOP,d_amiga:VIDEOSLOT,~, , , 
CN204 ,1,RIGHT AUDIO,d_amiga:RCA, ~, , , 
CN205 ,1,LEFT AUDIO,d_amiga:RCA, ~, , , 
CN206 ,1,COMPOSITE,d_amiga:RCA, ~, , , 
CN207 ,1,INTERNAL VIDEO SLOT BOT,d_amiga:VIDEOSLOT,~, , , 
CN300 ,1,KEYBOARD,d_amiga:DIN_5_KBD,http://www.mouser.com/ds/2/18/40_c091_abd_e-75918.pdf, ,Female, 
CN301 ,1,DB25F,Connector_Dsub:DSUB-25_Female_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm, ~, ,Female, 
CN302 ,1,DB23F,d_amiga:DSUB-23_Female_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm, ~, ,Female, 
CN303 ,1,Conn_02x17_Odd_Even,Connector_PinHeader_2.54mm:PinHeader_2x17_P2.54mm_Vertical,~, ,Male, 
CN304 ,1,Conn_02x13_Odd_Even,Connector_PinHeader_2.54mm:PinHeader_2x13_P2.54mm_Vertical,~, ,Male, 
CN305 ,1,DB25M,Connector_Dsub:DSUB-25_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm, ~, ,Male, 
CN400 ,1,POWER_CONN,d_amiga:A2K_PWR,~, ,Male, 
CN600 ,1,CO-PROCESSOR_SLOT,d_amiga:COPRO,, , , 
CN601 CN602 CN603 CN604 CN605 ,5,zorro_socket,d_amiga:Zorro,, , , 
CN606 ,1,Conn_01x04_Male,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,~, , , 
CN700 CN701 CN702 CN703 ,4,IBM_8_BIT_EXPANSION_BUS,ISA:ISA8,, , , 
CN704 CN705 ,2,IBM_16_BIT_EXTENDED_BUS,ISA:ISA16,,yes, , 
CN706 CN707 ,2,IBM_16_BIT_EXTENDED_BUS,ISA:ISA16,, , , 
D300 D800 D801 ,3,1N4148,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf, , ,78-1N4148
D400 D401 ,2,1N4001,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,http://www.vishay.com/docs/88503/1n4001.pdf, , ,750-1N4001-G
EMI201 ,1,Fitted with a double ferrite beads...,d_amiga:EMI_FILTER,~, , ,81-BL03RN2R1P1A
EMI206 EMI207 EMI210 EMI211 EMI229 EMI322 EMI323 EMI324 EMI339 EMI340 EMI341 ,11,100pF (Type C 101),d_amiga:EMI_FILTER,~, , ,Using Type F instead 81-DSS1NB32A101Q91A
EMI208 EMI311 EMI312 EMI313 EMI314 EMI315 EMI316 EMI317 EMI318 EMI319 EMI320 EMI321 ,12,100pF (Type F 101),d_amiga:EMI_FILTER,~, , ,81-DSS1NB32A101Q91A
EMI209 ,1,3.8nF (Type F 382),d_amiga:EMI_FILTER,~, , ,81-DSS1NB32A332Q91A
EMI230 EMI231 EMI232 EMI233 EMI234 EMI235 EMI236 EMI237 EMI238 EMI239 EMI240 EMI241 EMI242 EMI243 ,14,6.8nF (Type F 682),d_amiga:EMI_FILTER,~, , ,81-DSS1NB32A682Q91A
